Store,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2022-01-01,7967,196,1,0,a,0
1,2022-01-02,7801,215,1,0,0,0
1,2022-01-03,6028,161,1,0,0,0
1,2022-01-04,4672,135,1,0,0,1
1,2022-01-05,5750,115,1,0,0,0
1,2022-01-06,9000,232,1,1,0,0
1,2022-01-07,5945,142,1,0,0,1
1,2022-01-08,7184,179,1,0,0,0
1,2022-01-09,7748,154,1,0,0,0
1,2022-01-10,6463,179,1,0,0,0
1,2022-01-11,6251,150,1,0,0,0
1,2022-01-12,5473,119,1,0,0,0
1,2022-01-13,7371,196,1,1,0,0
1,2022-01-14,8613,230,1,1,0,1
1,2022-01-15,7841,215,1,0,0,0
1,2022-01-16,8485,194,1,0,0,0
1,2022-01-17,6553,150,1,0,0,0
1,2022-01-18,8457,193,1,0,0,1
1,2022-01-19,6380,153,1,0,0,0
1,2022-01-20,5986,119,1,0,0,1
1,2022-01-21,5813,135,1,0,0,0
1,2022-01-22,7785,200,1,0,0,0
1,2022-01-23,7057,169,1,0,0,0
1,2022-01-24,4645,123,1,0,0,0
1,2022-01-25,6222,163,1,0,0,0
1,2022-01-26,6313,124,1,0,0,1
1,2022-01-27,7953,248,1,1,0,0
1,2022-01-28,0,0,0,0,0,0
1,2022-01-29,7270,197,1,0,0,0
1,2022-01-30,6899,154,1,0,0,0
1,2022-01-31,6373,161,1,0,0,0
1,2022-02-01,6528,176,1,1,0,0
1,2022-02-02,4827,105,1,0,0,0
1,2022-02-03,5322,153,1,0,0,0
1,2022-02-04,5789,149,1,0,0,0
1,2022-02-05,7116,190,1,0,0,1
1,2022-02-06,7403,190,1,0,0,1
1,2022-02-07,5107,148,1,0,0,0
1,2022-02-08,6228,178,1,0,0,0
1,2022-02-09,5048,108,1,0,0,0
1,2022-02-10,5580,137,1,0,0,0
1,2022-02-11,5687,196,1,0,0,0
1,2022-02-12,6661,145,1,0,0,0
1,2022-02-13,6918,170,1,0,0,0
1,2022-02-14,5907,130,1,0,0,0
1,2022-02-15,4666,130,1,0,0,0
1,2022-02-16,5550,139,1,0,0,0
1,2022-02-17,4871,102,1,0,0,0
1,2022-02-18,6260,166,1,0,0,0
1,2022-02-19,9000,229,1,0,0,0
1,2022-02-20,6716,158,1,0,0,0
1,2022-02-21,5545,130,1,0,0,1
1,2022-02-22,5544,139,1,0,0,0
1,2022-02-23,4907,170,1,0,0,0
1,2022-02-24,0,0,0,0,0,0
1,2022-02-25,6076,139,1,0,0,1
1,2022-02-26,6933,190,1,0,0,0
1,2022-02-27,6809,137,1,0,0,0
1,2022-02-28,6667,187,1,0,0,0
1,2022-03-01,6711,205,1,1,0,0
1,2022-03-02,5361,109,1,0,0,0
1,2022-03-03,5429,126,1,0,0,0
1,2022-03-04,6200,164,1,1,0,1
1,2022-03-05,7027,178,1,0,0,0
1,2022-03-06,8007,161,1,0,0,0
1,2022-03-07,5232,134,1,0,0,1
1,2022-03-08,6469,178,1,1,0,0
1,2022-03-09,5699,154,1,0,0,0
1,2022-03-10,5911,159,1,0,0,0
1,2022-03-11,5131,151,1,0,0,0
1,2022-03-12,8930,239,1,1,0,0
1,2022-03-13,6254,175,1,0,0,1
1,2022-03-14,5678,139,1,0,0,0
1,2022-03-15,4514,103,1,0,0,0
1,2022-03-16,7304,195,1,1,0,1
1,2022-03-17,4350,144,1,0,0,1
1,2022-03-18,5727,131,1,0,0,1
1,2022-03-19,6314,161,1,0,0,1
1,2022-03-20,5644,112,1,0,0,0
1,2022-03-21,6418,187,1,1,0,0
1,2022-03-22,7464,183,1,1,0,1
1,2022-03-23,6405,159,1,1,0,0
1,2022-03-24,5785,175,1,0,0,0
1,2022-03-25,5311,141,1,0,0,0
1,2022-03-26,8434,211,1,1,0,0
1,2022-03-27,8102,210,1,0,0,0
1,2022-03-28,7474,190,1,1,0,0
1,2022-03-29,5438,155,1,0,0,0
1,2022-03-30,4331,97,1,0,0,0
1,2022-03-31,4448,118,1,0,0,0
1,2022-04-01,4773,155,1,0,0,1
1,2022-04-02,0,0,0,0,0,0
1,2022-04-03,6413,158,1,0,0,0
1,2022-04-04,6180,159,1,0,0,0
1,2022-04-05,5666,132,1,0,0,0
1,2022-04-06,0,0,0,1,0,0
1,2022-04-07,5891,124,1,0,0,1
1,2022-04-08,5633,181,1,0,0,0
1,2022-04-09,7960,234,1,0,0,1
1,2022-04-10,7582,207,1,0,a,1
1,2022-04-11,6082,116,1,0,a,0
1,2022-04-12,5610,96,1,0,a,0
1,2022-04-13,0,0,0,0,a,0
1,2022-04-14,5469,134,1,0,a,1
1,2022-04-15,6823,177,1,1,a,0
1,2022-04-16,5979,190,1,0,0,0
1,2022-04-17,6389,149,1,0,0,0
1,2022-04-18,6329,129,1,1,0,0
1,2022-04-19,5394,120,1,0,0,0
1,2022-04-20,5617,157,1,0,0,0
1,2022-04-21,5158,123,1,0,0,0
1,2022-04-22,4233,122,1,0,0,0
1,2022-04-23,5947,146,1,0,0,0
1,2022-04-24,5969,145,1,0,0,0
1,2022-04-25,5473,170,1,0,0,0
1,2022-04-26,5984,197,1,0,0,0
1,2022-04-27,6057,133,1,0,0,0
1,2022-04-28,4739,119,1,0,0,0
1,2022-04-29,6962,161,1,1,0,0
1,2022-04-30,6278,106,1,0,0,0
1,2022-05-01,8814,208,1,1,0,0
1,2022-05-02,5915,188,1,0,0,0
